policy,conversion_rate,match_rate,matched_events,conversions,conversion_rate_std,match_rate_std,uplift_vs_baseline_pct
best_historical_arm,0.1473846854123811,0.6347143333589882,5227.0,770.4,0.004127522689208157,0.004357490161377017,181.7
thompson_sampling,0.1473846854123811,0.6347143333589882,5227.0,770.4,0.004127522689208157,0.004357490161377017,181.7
epsilon_greedy,0.14492861929644216,0.6218670294909756,5121.2,742.2,0.004420581160213685,0.004907334847746327,177.0
thompson_sampling_contextual,0.13766968875330826,0.5834215859821955,4804.6,663.6,0.007239112170836996,0.04585800119582373,163.2
baseline_fixed,0.05231437973011686,0.3652856666410118,3008.2,157.4,0.002774851558859245,0.004357490161377017,0.0
